"","Entity","Indoor (10 to 14 years)","Indoor (15 to 19 years)","Indoor (20 to 24 years)","Indoor (25 to 29 years)","Indoor (30 to 34 years)","Indoor (35 to 39 years)","Indoor (40 to 44 years)","Indoor (45 to 49 years)","Indoor (5 to 9 years)","Indoor (50 to 54 years)","Indoor (55 to 59 years)","Indoor (60 to 64 years)","Indoor (65 to 69 years)","Indoor (70 to 74 years)","Indoor (75 to 79 years)","Indoor (80+ years)","Indoor (Under-5s)","Outdoor (10 to 14 years)","Outdoor (15 to 19 years)","Outdoor (20 to 24 years)","Outdoor (25 to 29 years)","Outdoor (30 to 34 years)","Outdoor (35 to 39 years)","Outdoor (40 to 44 years)","Outdoor (45 to 49 years)","Outdoor (5 to 9 years)","Outdoor (50 to 54 years)","Outdoor (55 to 59 years)","Outdoor (60 to 64 years)","Outdoor (65 to 69 years)","Outdoor (70 to 74 years)","Outdoor (75 to 79 years)","Outdoor (80+ years)","Outdoor (Under-5s)","Excess mortality from air pollution (all sources)","Excess mortality from fossil fuels","Excess mortality from all anthropogenic pollution","Total Years Life Lost from air pollution (all sources)","Total Years Life Lost from fossil fuels","Total Years Life Lost from all anthropogenic pollution","Death rates from all air pollution (per 100,000)","Death rates from air pollution from fossil fuels (per 100,000)","Death rates from all anthropogenic air pollution (per 100,000)","YLL rates from all air pollution (per 100,000)","YLL rates from air pollution from fossil fuels (per 100,000)","YLL rates from anthropogenic air pollution (per 100,000)","Deaths from fossil pollution as a share of total air pollution deaths","Deaths from fossil pollution as a share of total anthropogenic air pollution deaths","Deaths from anthropogenic pollution as a share of total air pollution deaths"
"72","Finland",0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,13,0,0,0,0,1,1,2,4,10,0,21,41,72,121,115,150,594,0,4008,2369,3878,69137,40830,66890,72.83300018,43.04924587,70.47065237,1256.351081,741.9589315,1215.518808,59.10678643,61.08818979,96.75648703
"73","France",0,0,0,0,0,1,2,5,0,8,12,16,21,18,25,158,0,1,1,1,14,29,59,145,279,1,491,717,976,1319,1177,1702,10471,5,67300,30802,48780,1140573,520297,825327,104.5112085,47.83290108,75.75121469,1771.213411,807.9772396,1281.663033,45.76820208,63.14473145,72.48142645
"74","Gabon",1,1,1,2,3,3,5,7,1,9,11,15,20,25,28,51,22,3,2,3,6,8,11,15,22,4,29,38,52,70,90,99,175,67,1158,12,560,34821,338,16722,67.13043478,0.695652174,32.46376812,2018.608696,19.5942029,969.3913043,1.03626943,2.142857143,48.35924007
"75","Gambia",8,7,9,14,17,21,26,38,15,55,66,84,88,113,97,110,246,6,5,6,11,13,16,20,29,11,41,50,63,66,85,72,81,182,1939,52,225,82045,1919,8260,97.38824711,2.611752888,11.30085384,4120.793571,96.38372677,414.8669011,2.68179474,23.11111111,11.60391955
"76","Georgia",1,1,2,12,20,32,46,79,2,139,204,264,271,316,533,1153,15,1,1,1,13,23,35,54,91,1,159,231,302,313,370,624,1392,12,6460,2112,2275,126415,41183,44327,161.5,52.8,56.875,3160.375,1029.575,1108.175,32.69349845,92.83516484,35.21671827
"77","Germany",0,0,0,1,1,2,5,15,0,32,45,68,66,124,182,516,0,1,1,2,20,39,71,163,502,1,1041,1467,2268,2254,4493,6773,19770,5,123943,76052,115446,2115179,1296173,1969675,153.605818,94.25324277,143.0752625,2621.396936,1606.381271,2441.070004,61.36046408,65.87668694,93.14442929
"78","Ghana",60,87,128,214,276,371,525,777,89,1004,1151,1309,1593,1666,1550,2208,1452,46,69,102,178,229,310,440,660,69,844,962,1097,1338,1400,1282,1821,1144,24686,177,7298,927867,5779,257669,90.06203102,0.645749797,26.62532214,3385.14083,21.08354846,940.0548274,0.71700559,2.425322006,29.56331524
"79","Greece",0,0,0,0,0,1,1,2,0,3,4,5,7,8,15,61,0,0,0,0,8,19,32,61,108,0,154,216,260,396,480,853,3815,1,16431,6297,7637,265792,101374,122958,149.9863076,57.48060246,69.71246006,2426.21634,925.3674121,1122.391602,38.32389995,82.45384313,46.47921612
"80","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,2,3,3,3,4,5,13,1,98,3,8,2229,90,190,91.58878505,2.803738318,7.476635514,2083.17757,84.11214953,177.5700935,3.06122449,37.5,8.163265306
"82","Guam",0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,3,0,0,0,0,0,1,1,2,3,0,5,6,7,8,7,7,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Guatemala",32,38,42,85,102,107,121,146,45,184,213,257,312,357,399,1264,755,25,29,33,79,96,103,118,144,35,180,207,251,305,350,390,1220,613,5425,1436,3322,177172,46957,108847,33.19464194,8.786637018,20.32674664,1084.084996,287.3218067,666.0160721,26.47004608,43.2269717,61.23502304
"84","Guinea",61,59,78,149,183,210,269,378,128,565,739,993,1084,1171,1018,1002,3481,33,33,43,89,110,128,162,229,70,336,437,588,638,688,590,582,1930,12186,249,1358,574581,9955,54453,96.64524573,1.974779762,10.77008401,4556.911368,78.95153629,431.8581623,2.04332841,18.33578792,11.14393566
"85","Guinea-Bissau",9,11,15,29,39,48,66,90,15,122,148,198,211,217,167,156,249,6,7,9,20,26,33,44,61,9,81,98,130,138,141,107,100,156,2139,36,373,91585,1224,13256,115.9978308,1.952277657,20.22776573,4966.64859,66.37744035,718.8720174,1.683029453,9.651474531,17.43805517
"86","Guyana",0,0,0,1,1,1,2,5,0,7,10,9,9,8,8,8,1,0,1,1,2,3,5,8,19,0,31,43,41,39,33,33,33,4,441,17,79,14101,549,2524,57.49674055,2.21642764,10.29986962,1838.461538,71.57757497,329.0743155,3.854875283,21.51898734,17.9138322
"87","Haiti",22,23,31,133,192,253,318,465,32,652,773,940,992,1144,1137,1647,1146,9,9,12,67,100,134,170,251,13,349,408,493,516,592,574,825,468,6330,915,1266,245543,35266,49026,59.09812342,8.542619737,11.81962468,2292.437681,329.2503034,457.7163664,14.4549763,72.27488152,20
"88","High-income",1,2,3,11,19,33,60,114,1,204,300,425,554,699,879,3440,12,21,33,50,445,854,1538,3058,5834,22,10584,15791,22299,30306,38179,48069,189381,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","High-income Asia Pacific",0,0,0,0,0,0,0,1,0,1,1,2,3,4,6,32,0,4,5,7,60,129,261,560,897,5,1325,1840,2911,4715,6593,8934,38739,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Honduras",3,3,3,37,42,50,68,96,3,131,171,222,243,261,284,722,95,2,2,3,40,44,52,72,103,3,140,182,235,258,278,301,767,76,2112,427,1034,58723,11595,28585,26.15479876,5.287925697,12.80495356,727.2198142,143.5913313,353.993808,20.21780303,41.2959381,48.95833333
"91","Hungary",0,0,0,2,3,10,23,48,0,76,145,224,222,260,270,716,2,0,1,1,6,13,43,97,204,0,327,627,984,1003,1216,1278,3538,5,18567,12660,16142,375428,255691,326254,188.4018265,128.4627093,163.7950279,3809.518011,2594.530695,3310.542872,68.18549039,78.42894313,86.93919319
"92","Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,3,5,5,7,34,0,142,26,27,2327,427,450,43.16109422,7.902735562,8.20668693,707.2948328,129.787234,136.7781155,18.30985915,96.2962963,19.01408451
"93","India",1171,1166,1096,6026,9504,14393,20329,30487,2090,45666,63717,91873,102093,105251,93327,143662,51057,1310,1326,1277,9066,14351,21506,30744,46143,2356,68905,95675,131877,145310,149675,135593,209961,59599,1853455,691711,1139621,55027097,19560101,32882311,141.3716697,52.7600287,86.92421643,4197.1737,1491.940261,2508.087441,37.320086,60.69658246,61.48630531
"94","Indonesia",105,69,77,638,1061,1722,2539,3770,125,5062,6269,6828,6935,7164,6913,9111,2447,82,53,63,871,1457,2323,3534,5259,92,7016,8648,9344,9483,9697,9056,11864,1809,174383,34924,88353,5274288,1036588,2660033,67.7047358,13.55935036,34.30332385,2047.758529,402.4584775,1032.765989,20.02718155,39.52780324,50.66606263
"95","Iran",0,0,0,3,6,7,9,13,0,18,23,28,27,26,31,66,5,23,23,32,311,530,669,899,1385,32,1987,2476,3176,3047,3018,3642,7983,430,67385,9065,11312,1568600,202792,253542,85.17994375,11.45887349,14.29925835,1982.833862,256.3450494,320.4970438,13.45254879,80.13613861,16.78711879
"96","Iraq",2,2,2,11,16,25,33,46,3,50,52,73,66,68,63,78,69,32,38,42,245,384,620,855,1239,54,1372,1469,2119,1961,2100,1970,2498,1472,28963,2956,3172,920824,84566,90725,79.51844052,8.115751482,8.70878339,2528.138952,232.177483,249.087129,10.20612506,93.19041614,10.95190415
"97","Ireland",0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,15,0,0,0,0,1,2,5,10,19,0,30,43,65,97,122,159,562,0,3049,970,1176,54939,17333,21042,65.0383959,20.69112628,25.08532423,1171.906997,369.7312287,448.8481229,31.81370941,82.4829932,38.57002296
"98","Israel",0,0,0,0,0,0,0,1,0,1,1,2,3,4,4,18,0,0,1,1,3,5,10,17,28,0,46,70,122,187,202,238,1029,3,7636,1925,2222,135142,33697,38911,94.69246032,23.87152778,27.55456349,1675.868056,417.8695437,482.5272817,25.20953379,86.63366337,29.09900471
"99","Italy",0,0,0,0,1,2,3,7,0,10,15,22,32,47,66,298,0,1,1,1,16,30,69,152,315,1,477,675,1041,1553,2418,3544,17032,5,81473,40630,49771,1242579,617655,756837,136.2470453,67.94542305,83.23188902,2077.96101,1032.902542,1265.656169,49.86928185,81.63388318,61.08894971
"100","Jamaica",0,0,0,1,2,2,4,7,0,11,15,19,22,26,29,101,5,0,1,1,3,5,7,12,23,1,36,48,64,75,88,98,343,9,1580,274,410,33761,5771,8662,56.56999642,9.810239885,14.67955603,1208.77193,206.6237021,310.132474,17.34177215,66.82926829,25.94936709
"101","Japan",0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,30,0,3,3,4,35,75,151,338,500,4,690,959,1801,3178,4259,5848,30095,17,202811,83696,117465,3066480,1258663,1769775,160.2324287,66.12468433,92.80414888,2422.696688,994.4166215,1398.224685,41.26797856,71.25186226,57.9184561
"102","Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,14,28,44,70,105,3,128,132,144,169,204,205,331,73,4662,1060,1220,129597,28465,32810,61.38248848,13.95655036,16.06319947,1706.34628,374.7860434,431.9947334,22.73702274,86.8852459,26.16902617
"103","Kazakhstan",1,1,3,23,44,66,97,135,3,240,302,390,315,324,491,668,52,3,3,5,58,121,181,277,394,5,709,905,1169,959,1008,1528,2157,103,15412,5341,7873,394993,135577,199984,87.44397163,30.3035461,44.66950355,2241.095035,769.2312057,1134.660993,34.65481443,67.83945129,51.08357124
"104","Kenya",117,81,102,183,240,302,392,505,147,655,894,1198,1351,1372,1458,2603,4965,39,28,37,83,109,136,176,232,49,293,392,512,585,574,599,1033,1678,14852,1164,5295,633590,49166,227142,32.25190081,2.527687351,11.49837159,1375.87408,106.7665604,493.250825,7.837328306,21.98300283,35.65176407
"105","Kiribati",0,0,0,3,4,4,5,8,0,11,11,11,9,8,8,7,6,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,30,0,1,1232,7,34,26.78571429,0,0.892857143,1100,6.25,30.35714286,0,0,3.333333333
"106","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,15,29,44,63,83,2,91,108,86,92,75,54,106,14,2465,298,351,73611,8748,10302,63.33504625,7.656731757,9.018499486,1891.341213,224.7687564,264.696814,12.08924949,84.9002849,14.23935091
"107","Kyrgyzstan",3,2,2,10,20,28,42,64,6,118,155,199,150,141,215,407,157,2,1,1,14,27,39,61,95,5,177,234,306,235,226,346,679,142,4257,837,1273,118691,22818,34980,71.66666667,14.09090909,21.43097643,1998.164983,384.1414141,588.8888889,19.66173362,65.75019639,29.90368804
"108","Laos",20,14,20,89,101,131,168,226,34,305,378,463,504,527,504,708,1793,9,7,9,54,61,79,101,135,15,180,221,270,292,305,288,404,841,6070,2245,3945,219041,76924,139968,89.23845928,33.00499853,57.99764775,3220.244046,1130.902676,2057.747721,36.98517298,56.90747782,64.99176277
"109","Latin America and Caribbean",125,131,155,524,705,912,1192,1731,167,2460,3053,3889,4441,5103,5604,14859,3384,161,190,230,1076,1572,2221,3271,5098,200,7726,9871,12464,14378,15910,17492,45940,3728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Latvia",0,0,0,0,1,2,4,7,0,14,22,30,31,46,57,137,0,0,0,0,1,3,6,15,28,0,62,97,136,144,218,274,693,1,3061,1682,2946,60303,33098,58020,155.3018772,85.33739219,149.4672755,3059.512938,1679.249112,2943.683409,54.94936295,57.09436524,96.24305782
"111","Lebanon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,17,21,32,58,1,94,114,146,188,233,296,637,5,6032,2001,2357,132199,43453,51218,103.0934707,34.19927633,40.2837053,2259.425353,742.6592475,875.3715817,33.17307692,84.89605431,39.07493369
"112","Lesotho",6,9,12,22,31,39,43,49,9,63,91,151,173,172,174,264,179,4,5,7,15,21,27,31,36,5,46,66,111,129,130,130,195,107,1167,584,1102,45017,22997,42636,54.66042155,27.35362998,51.61592506,2108.52459,1077.142857,1997.002342,50.0428449,52.99455535,94.43016281
"113","Liberia",18,15,17,31,40,54,74,111,31,170,209,258,293,343,298,287,448,5,4,5,11,15,21,29,45,9,67,81,100,112,130,111,106,131,3374,15,789,142946,505,29169,74.92782589,0.333111259,17.52165223,3174.46147,11.21474573,647.7681546,0.444576171,1.901140684,23.38470658
"114","Libya",0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,0,2,3,3,28,38,63,100,154,3,182,215,261,276,306,305,509,15,6200,598,617,163854,15346,15812,98.7575661,9.525326537,9.827970691,2609.971328,244.4409047,251.8636508,9.64516129,96.92058347,9.951612903
"115","Lithuania",0,0,0,0,0,1,1,2,0,5,7,9,9,13,17,48,0,0,0,0,3,6,12,25,47,0,95,142,195,202,281,374,1138,2,4786,3023,4654,93375,58924,90793,166.2960389,105.038221,161.7095205,3244.440584,2047.394024,3154.725504,63.16339323,64.95487752,97.2419557
"116","Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,5,7,11,14,17,24,101,0,476,293,446,8601,5281,8056,83.95061728,51.67548501,78.65961199,1516.931217,931.3932981,1420.811287,61.55462185,65.69506726,93.69747899
"117","Macedonia",0,0,0,2,4,6,12,23,0,36,54,83,94,105,130,199,2,0,0,0,4,7,12,24,48,0,75,114,176,202,231,284,460,4,2713,1452,1657,57748,30879,35253,130.5582291,69.87487969,79.74013474,2779.018287,1485.99615,1696.487007,53.52008846,87.62824381,61.0762993
"118","Madagascar",188,163,199,387,454,575,785,979,274,1195,1439,1751,1737,1790,1751,2272,5205,64,56,69,164,197,256,349,439,93,527,620,744,733,746,716,945,1821,8258,196,4052,342769,8061,169739,34.07468537,0.808747679,16.71962038,1414.355271,33.26181143,700.3878688,2.373456043,4.837117473,49.06757084
"119","Malawi",86,69,90,142,143,173,211,271,140,318,449,672,1054,1294,1191,1297,3710,36,29,38,69,70,86,105,137,57,159,220,326,510,621,560,611,1563,7132,201,3653,291686,7948,149701,41.42898635,1.167586407,21.2198664,1694.371188,46.16903863,869.5962823,2.818283791,5.502326855,51.21985418
"120","Malaysia",0,0,0,2,3,4,5,8,0,12,17,21,27,26,26,43,1,7,11,17,77,137,183,272,450,6,698,959,1190,1506,1450,1387,2237,38,13387,4220,8574,341032,106553,217612,44.13636068,13.9131577,28.2681076,1124.367771,351.3006379,717.4573632,31.52311944,49.21856776,64.04720998
"121","Maldives",0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,0,0,0,0,1,1,1,2,3,0,5,6,8,8,13,17,25,0,135,26,65,3367,676,1642,37.08791209,7.142857143,17.85714286,925,185.7142857,451.0989011,19.25925926,40,48.14814815
"122","Mali",45,31,35,129,170,191,232,304,132,387,442,623,776,946,767,786,2823,32,22,26,97,127,145,172,227,96,283,323,454,563,688,552,572,2077,17107,495,622,822000,19382,23931,97.19885259,2.81249968,3.534090507,4670.454015,110.1249875,135.9715755,2.893552347,79.58199357,3.635938505
"123","Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2,0,3,6,10,17,20,32,69,0,576,140,180,9554,2315,2988,137.4701671,33.41288783,42.95942721,2280.190931,552.5059666,713.1264916,24.30555556,77.77777778,31.25
"124","Marshall Islands",0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,2,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Mauritania",9,7,9,14,16,21,32,50,17,77,94,115,136,158,148,187,238,11,9,11,18,21,28,43,68,22,102,126,155,183,211,197,250,312,4789,92,161,184193,2959,5172,117.7236971,2.261553589,3.957718781,4527.851524,72.73844641,127.1386431,1.921069117,57.14285714,3.361870954
"126","Mauritius",0,0,0,0,0,1,1,1,0,2,2,3,3,3,3,8,0,0,0,0,2,4,8,11,17,0,29,37,46,54,49,46,116,2,819,37,62,21460,949,1590,64.33621367,2.906520031,4.870384918,1685.781618,74.54831108,124.9018068,4.517704518,59.67741935,7.57020757
"127","Mexico",11,12,16,66,85,115,155,218,13,300,367,473,572,689,816,2240,314,21,25,39,221,301,428,635,932,23,1301,1607,2078,2495,2900,3327,9098,601,54893,32082,43261,1405148,819172,1104665,43.21704764,25.25803513,34.05921881,1106.267613,644.930963,869.6985032,58.44461042,74.15917339,78.80968429
"128","Micronesia",0,0,0,1,1,1,1,2,0,3,4,5,5,3,3,5,1,0,0,0,1,1,1,1,1,0,2,3,4,3,2,2,4,0,20,2,4,768,100,166,19.23076923,1.923076923,3.846153846,738.4615385,96.15384615,159.6153846,10,50,20
"129","Moldova",0,0,0,1,3,5,8,12,0,24,36,60,49,52,63,104,3,1,1,1,7,15,31,53,83,1,165,253,437,372,413,506,880,15,5393,3450,4624,126973,81183,108871,132.5387073,84.78741706,113.6397149,3120.496436,1995.158516,2675.620546,63.97181532,74.61072664,85.74077508
"130","Mongolia",2,2,2,20,32,51,81,125,5,175,176,158,139,148,140,214,113,2,1,2,19,31,49,80,124,3,173,174,156,138,148,138,217,87,1790,462,566,56830,14801,18122,60.49340994,15.6133829,19.12808381,1920.581277,500.2027712,612.436634,25.81005587,81.6254417,31.62011173
"131","Montenegro",0,0,0,1,1,2,5,8,0,15,22,35,37,37,54,98,0,0,0,0,1,2,3,6,10,0,18,28,45,49,49,72,142,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Morocco",1,1,1,8,11,16,24,38,2,62,83,101,92,99,108,212,17,11,10,12,90,141,203,319,522,15,857,1183,1467,1375,1506,1639,3171,157,29938,2959,4909,734714,70017,116910,87.08476604,8.607249072,14.27948148,2137.163364,203.6680494,340.0721491,9.88375977,60.27704217,16.39722092
"133","Mozambique",138,101,117,187,207,246,340,495,215,660,915,1322,1590,1817,1619,1938,5245,47,34,40,77,85,106,145,217,72,287,393,563,679,762,662,795,1796,15057,410,7224,696634,18493,333057,53.81728116,1.465437024,25.82028552,2489.934771,66.09835827,1190.424534,2.722985987,5.675526024,47.9776848
"134","Myanmar",72,65,89,251,366,561,805,1222,80,1951,2714,3617,3739,3815,3726,5415,2380,55,51,70,217,318,480,693,1067,61,1706,2392,3223,3371,3503,3424,5054,1842,70995,17414,40377,2128521,508995,1182203,131.7234725,32.30977605,74.91511587,3949.238362,944.3846596,2193.448615,24.52848792,43.12851376,56.87301923
"135","Namibia",5,6,8,11,13,17,24,34,7,46,54,77,86,95,90,137,92,3,4,5,8,10,14,20,29,4,40,48,68,77,87,81,122,65,769,50,421,28002,1869,15350,31.27287515,2.033346889,17.12078081,1138.755592,76.00650671,624.2374949,6.501950585,11.87648456,54.74642393
"136","Nepal",36,33,29,148,204,297,470,735,51,1097,1463,2300,2819,3040,2792,3707,1934,33,30,26,153,210,306,488,771,46,1152,1545,2436,2995,3267,3007,3967,1824,26639,11299,17459,743763,309041,484611,93.42428608,39.62614995,61.22957359,2608.413502,1083.82202,1699.554664,42.41525583,64.71733776,65.53924697
"137","Netherlands",0,0,0,0,0,0,0,1,0,2,2,4,6,7,8,34,0,0,0,0,3,7,13,40,87,0,160,238,373,638,701,918,3545,2,20104,9412,14597,346338,161811,251158,118.7828656,55.61004431,86.24519941,2046.310192,956.0472674,1483.946824,46.81655392,64.47900253,72.60744131
"138","New Zealand",0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,9,0,0,0,0,0,1,2,6,10,0,17,23,31,47,59,67,291,0,2122,154,259,38463,2746,4644,46.85361007,3.400309119,5.7187017,849.2603224,60.63148598,102.5391919,7.25730443,59.45945946,12.20546654
"139","Nicaragua",3,3,3,11,14,20,26,35,3,45,66,91,74,91,103,395,81,2,2,2,10,14,19,25,34,2,44,65,91,73,91,104,391,58,2208,435,883,66030,12886,26382,36.30384742,7.152252549,14.51825058,1085.662611,211.871095,433.7717856,19.70108696,49.26387316,39.99094203
"140","Niger",103,86,96,163,193,256,340,459,246,784,955,1126,1317,1440,1125,1075,6440,91,76,86,148,175,235,308,415,217,703,857,1007,1168,1274,987,945,5769,19364,562,1108,1029502,22762,45463,97.31142757,2.824262668,5.568119281,5173.637126,114.3876634,228.4687788,2.902292915,50.72202166,5.721958273
"141","Nigeria",702,437,519,742,830,1003,1271,1777,2092,2498,3052,4082,5199,6221,5310,5622,23229,735,460,547,804,903,1095,1386,1951,2181,2715,3314,4459,5673,6779,5749,6075,24685,180611,6410,32599,9104169,271110,1451614,99.12678735,3.518073135,17.89167958,4996.74452,148.7963818,796.7058058,3.54906401,19.66317985,18.04928825
"142","North Africa and Middle East",265,166,167,980,1417,2090,2880,3830,447,4765,5438,6187,6598,6066,4871,5865,9898,603,461,477,2805,4225,6213,9092,13917,1016,19616,24788,30242,31244,30061,27718,50211,14637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","North America",0,0,0,2,3,5,9,17,0,36,57,74,95,104,107,339,1,5,7,17,202,387,642,1169,2222,6,4543,7167,9404,12031,13381,14147,47880,54,360452,243609,293541,7504025,5029219,6087184,73.81727362,49.88889564,60.11451266,1536.755703,1029.938064,1246.599622,67.58431081,82.98976974,81.43691809
"144","North Korea",14,17,18,190,303,398,989,1824,23,2160,3431,2987,4550,6552,6804,8207,960,7,10,10,134,209,268,644,1168,12,1382,2198,1921,2990,4385,4541,5529,543,49182,28629,38561,1222776,701212,953649,195.5158176,113.8103847,153.293592,4860.966397,2787.565318,3791.091536,58.21032085,74.24340655,78.40470091
"145","Northern Ireland",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,7,0,0,0,0,1,1,2,5,10,0,17,24,34,55,68,89,316,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Northern Mariana Islands",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,1,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Norway",0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,18,0,0,0,0,1,1,3,6,13,0,23,37,58,104,118,139,648,0,3230,1628,2668,54154,27229,44692,61.98426406,31.2416043,51.19938591,1039.224717,522.529265,857.6472846,50.40247678,61.01949025,82.6006192
"148","Oceania",32,38,47,203,301,431,653,745,45,908,990,1106,1099,979,826,840,1259,8,10,12,74,117,173,267,313,12,367,393,427,407,358,291,301,337,14424,1645,3238,263099,29010,56981,46.90121458,5.34889753,10.52871137,855.4951923,94.32918988,185.2799576,11.40460344,50.80296479,22.44869662
"149","Oman",0,0,0,1,1,1,1,2,0,2,2,3,3,3,2,4,0,1,2,3,26,42,46,59,88,1,95,114,141,131,142,121,184,14,3047,165,226,92319,4962,6792,67.84680472,3.674014696,5.032286796,2055.644623,110.487642,151.2358049,5.415162455,73.00884956,7.417131605
