"rank","country","pop2021"
"","China","1444216.1070"
"","India","1393409.0380"
"","United States","332915.0730"
"","Indonesia","276361.7830"
"","Pakistan","225199.9370"
"","Brazil","213993.4370"
"","Nigeria","211400.7080"
"","Bangladesh","166303.4980"
"","Russia","145912.0250"
"","Mexico","130262.2160"
"","Japan","126050.8040"
"","Ethiopia","117876.2270"
"","Philippines","111046.9130"
"","Egypt","104258.3270"
"","Vietnam","98168.8330"
"","DR Congo","92377.9930"
"","Turkey","85042.7380"
"","Iran","85028.7590"
"","Germany","83900.4730"
"","Thailand","69950.8500"
"","United Kingdom","68207.1160"
"","France","65426.1790"
"","Tanzania","61498.4370"
"","Italy","60367.4770"
"","South Africa","60041.9940"
"","Kenya","54985.6980"
"","Myanmar","54806.0120"
"","South Korea","51305.1860"
"","Colombia","51265.8440"
"","Uganda","47123.5310"
"","Spain","46745.2160"
"","Argentina","45605.8260"
"","Sudan","44909.3530"
"","Algeria","44616.6240"
"","Ukraine","43466.8190"
"","Iraq","41179.3500"
"","Afghanistan","39835.4280"
"","Canada","38067.9030"
"","Poland","37797.0050"
"","Morocco","37344.7950"
"","Saudi Arabia","35340.6830"
"","Uzbekistan","33935.7630"
"","Angola","33933.6100"
"","Peru","33359.4180"
"","Malaysia","32776.1940"
"","Mozambique","32163.0470"
"","Ghana","31732.1290"
"","Yemen","30490.6400"
"","Nepal","29674.9200"
"","Venezuela","28704.9540"
"","Madagascar","28427.3280"
"","Cameroon","27224.2650"
"","Ivory Coast","27053.6290"
"","North Korea","25887.0410"
"","Australia","25788.2150"
"","Niger","25130.8170"
"","Taiwan","23855.0100"
"","Sri Lanka","21497.3100"
"","Burkina Faso","21497.0960"
"","Mali","20855.7350"
"","Malawi","19647.6840"
"","Chile","19212.3610"
"","Romania","19127.7740"
"","Kazakhstan","18994.9620"
"","Zambia","18920.6510"
"","Syria","18275.7020"
"","Guatemala","18249.8600"
"","Ecuador","17888.4750"
"","Senegal","17196.3010"
"","Netherlands","17173.0990"
"","Cambodia","16946.4380"
"","Chad","16914.9850"
"","Somalia","16359.5040"
"","Zimbabwe","15092.1710"
"","Guinea","13497.2440"
"","Rwanda","13276.5130"
"","Benin","12451.0400"
"","Burundi","12255.4330"
"","Tunisia","11935.7660"
"","Bolivia","11832.9400"
"","Belgium","11632.3260"
"","Haiti","11541.6850"
"","South Sudan","11381.3780"
"","Cuba","11317.5050"
"","Dominican Republic","10953.7030"
"","Czech Republic","10724.5550"
"","Greece","10370.7440"
"","Jordan","10269.0210"
"","Azerbaijan","10223.3420"
"","Portugal","10167.9250"
"","Sweden","10160.1690"
"","Honduras","10062.9910"
"","United Arab Emirates","9991.0890"
"","Tajikistan","9749.6270"
"","Hungary","9634.1640"
"","Belarus","9442.8620"
"","Papua New Guinea","9119.0100"
"","Austria","9043.0700"
"","Israel","8789.7740"
"","Switzerland","8715.4940"
"","Serbia","8697.5500"
"","Togo","8478.2500"
"","Sierra Leone","8141.3430"
"","Hong Kong","7552.8100"
"","Laos","7379.3580"
"","Paraguay","7219.6380"
"","Libya","6958.5320"
"","Bulgaria","6896.6630"
"","Lebanon","6769.1460"
"","Nicaragua","6702.3850"
"","Kyrgyzstan","6628.3560"
"","El Salvador","6518.4990"
"","Turkmenistan","6117.9240"
"","Singapore","5896.6860"
"","Denmark","5813.2980"
"","Republic of the Congo","5657.0130"
"","Finland","5548.3600"
"","Norway","5465.6300"
"","Slovakia","5460.7210"
"","Oman","5223.3750"
"","Palestine","5222.7480"
"","Liberia","5180.2030"
"","Costa Rica","5139.0520"
"","Ireland","4982.9070"
"","Central African Republic","4919.9810"
"","New Zealand","4860.6430"
"","Mauritania","4775.1190"
"","Panama","4381.5790"
"","Kuwait","4328.5500"
"","Croatia","4081.6510"
"","Moldova","4024.0190"
"","Georgia","3979.7650"
"","Eritrea","3601.4670"
"","Uruguay","3485.1510"
"","Mongolia","3329.2890"
"","Bosnia and Herzegovina","3263.4660"
"","Jamaica","2973.4630"
"","Armenia","2968.1270"
"","Qatar","2930.5280"
"","Albania","2872.9330"
"","Puerto Rico","2828.2550"
"","Lithuania","2689.8620"
"","Namibia","2587.3440"
"","Gambia","2486.9450"
"","Botswana","2397.2410"
"","Gabon","2278.8250"
"","Lesotho","2159.0790"
"","North Macedonia","2082.6580"
"","Slovenia","2078.7240"
"","Guinea-Bissau","2015.4940"
"","Latvia","1866.9420"
"","Bahrain","1748.2960"
"","Equatorial Guinea","1449.8960"
"","Trinidad and Tobago","1403.3750"
"","Timor-Leste","1343.8730"
"","Estonia","1325.1850"
"","Mauritius","1273.4330"
"","Cyprus","1215.5840"
"","Eswatini","1172.3620"
"","Djibouti","1002.1870"
"","Fiji","902.9060"
"","Reunion","901.6860"
"","Comoros","888.4510"
"","Guyana","790.3260"
"","Bhutan","779.8980"
"","Solomon Islands","703.9960"
"","Macau","658.3940"
"","Luxembourg","634.8140"
"","Montenegro","628.0530"
"","Western Sahara","611.8750"
"","Suriname","591.8000"
"","Cape Verde","561.8980"
"","Maldives","543.6170"
"","Malta","442.7840"
"","Brunei","441.5320"
"","Belize","404.9140"
"","Guadeloupe","400.0200"
"","Bahamas","396.9130"
"","Martinique","374.7450"
"","Iceland","343.3530"
"","Vanuatu","314.4640"
"","French Guiana","306.4480"
"","New Caledonia","288.2180"
"","Barbados","287.7110"
"","French Polynesia","282.5300"
"","Mayotte","279.5150"
"","Sao Tome and Principe","223.3680"
"","Samoa","200.1490"
"","Saint Lucia","184.4000"
"","Guam","170.1790"
"","Curacao","164.7980"
"","Kiribati","121.3920"
"","Micronesia","116.2540"
"","Grenada","113.0210"
"","Saint Vincent and the Grenadines","111.2630"
"","Aruba","107.2040"
"","Tonga","106.7600"
"","United States Virgin Islands","104.2260"
"","Seychelles","98.9080"
"","Antigua and Barbuda","98.7310"
"","Isle of Man","85.4100"
"","Andorra","77.3550"
"","Dominica","72.1670"
"","Cayman Islands","66.4970"
"","Bermuda","62.0900"
"","Marshall Islands","59.6100"
"","Northern Mariana Islands","57.9170"
"","Greenland","56.8770"
"","American Samoa","55.1000"
"","Saint Kitts and Nevis","53.5440"
"","Faroe Islands","49.0490"
"","Sint Maarten","43.4120"
"","Monaco","39.5110"
"","Saint Martin","39.2340"
"","Turks and Caicos Islands","39.2310"
"","Liechtenstein","38.2500"
"","San Marino","34.0170"
"","Gibraltar","33.6980"
"","British Virgin Islands","30.4210"
"","Palau","18.1690"
"","Cook Islands","17.5650"
"","Anguilla","15.1170"
"","Tuvalu","11.9310"
"","Wallis and Futuna","11.0940"
"","Nauru","10.8760"
"","Saint Barthelemy","9.9070"
"","Saint Pierre and Miquelon","5.7660"
"","Montserrat","4.9770"
"","Falkland Islands","3.5330"
"","Niue","1.6190"
"","Tokelau","1.3730"
"","Vatican City","0.8000"