"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","population_with_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","prevalence_of_obesity_both_sexes_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","national_poverty_lines_jolliffe_and_prydz_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","stringency_index","income_support","debt_relief","containment_index","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","child_mortality_1950_2017_ihme_2018_x","life_expectancy","total_population_gapminder_hyde_un"
"1",39.277,65.7106645,10761942,11.565728,12.2499833,5.5,2.375,149.52820071,"1",38.247648,1934.555,2.6715,133.8647,52.31,"0","0",42.8,68970,29.559,183.9278576,32.5,40.3264,11.0051,5.0959,2.8249,144.16689,1.6701e+11,55.77,64.833,39835428
"2",169.226,42.00774,2684815,7.6878707,7.081062,21.7,5.365,225.27,"3",33.17109,11104.1665,3.8,225.28,37.96,"1","1",43.21,29903,23.6,773.6782919,78.2,25.767,8.9741,5.206,4.4558,440.42001,2.01e+09,13.99,78.573,2872934
"3",44.035,25.60362,34927459,12.2647583,12.5937459,27.4,4.745,247.73,"3",27.61573,14228.025,4.3964,371.1799,50.46,"1","1",57.56,34790,85.2,1031.16964,63.7,28.3225,8.4231,4.4471,3.2918,289.74506,3e+08,24.11,76.88,44616626
"4",931.858,1.2310056842,78014,8.0856197,5.8184757,25.6,6.84041,1482.7141927,"4",32.687888,53536.523138,21.9143,1387.8141,46.3,"2","1",59.52,18445.73,94.907,5948.635486,94.6,22.6447,16.4175,5.1436,3.6569,2164.9558,1.6992e+10,2.11,83.732,77354
"5",8.215,90.50985,14375401,8.5194139,7.825495,8.2,3.795,120.76,"2",51.27211,7771.4418,2.17,120.74,56.94,"0","0",51.61,93709,0,195.5144172,40.7,38.741,11.7674,5.1995,2.7477,65.277954,4.999e+10,71.04,61.147,33933611
"6",30.635,17.226156731,87487,9.9233293,13.0083446,18.9,5.87762,424.1318955,"4",43.5294767,19029.278908,5.4649,422.5942,61.8846999999999,"1","0",67.1914,28075.13,51.1,1105.111025,66.7,28.5712,9.8554,5.0647,3.4441,268.01904,2.6e+08,12.81,77.016,98728
"7",657.805,8.5967,41854725,9.8786283,9.4600896,28.3,5.901,504.4790986,"3",39.5536918,18556.3831,5.8248,477.3217,75.93,"1","1",74.17,26808,96.8,1389.840341,68.4,24.4564,7.883,4.0196,2.6467,245.00212,8.1e+08,12.06,76.667,45605823
"8",419.474,36.6346,2610670,10.986533,11.9752651,20.2,5.488,211.11,"2",29.87821,11454.4251,3.87,192.27,50.9446,"1","2",56.4844,35083,100,883.2206519,67.5,26.9041,8.7888,5.1709,4.796,720.97192,5.41e+09,10.55,75.087,2968128
"9",35.49,0.7444149,23789338,6.7891865,4.9997449,29,7.137,1765.88,"4",34.39943,49830.7993,28.14,1655.85,71.76,"0","0",74.17,17696,100,4491.629858,89.8,55.89,15.25,4.49,3.84,838.4942,98511200000,4.17,83.436,25788217
"10",111.698,0.5476114,8633169,5.4147456,3.2164117,20.1,7.213,1681.71,"4",30.84879,42988.0709,27.02,1634.26,56.02,"2","2",68.15,19763,99.3,5138.184731,88.2,30.8,16.0392,5.8189,7.37,920.96967,40599500000,3.81,81.544,9043072
"11",67.856,0,8616862,11.572171,13.0270691,19.9,5.173,315.14001,"3",26.55491,16628.0553,5.19,312.41,61.11,"0","0",64.29,33879,2.9,1191.289459,64.5,26.9012,10.0718,4.8658,4.5687,936.67621,5.29e+09,38.24,73.005,10223344
"12",335.666,12.9384049774,355891,11.2055637,13.6572693,31.6,5.93272,407.1196973,"4",38.1245003,21588.381967,6.1246,421.5567,57.41,"1","1",71.43,30459,100,1699.052483,68.43,25.6079,9.177,4.5417,3.4102,471.66946,965700000,13.61,73.918,396914
"13",185.709,5.0246519676,1360880,12.006818,10.6416642,29.8,6.173,776.3237932,"4",35.4706692,39498.7672,9.6917,670.3332,53.7,"2","1",66.43,25533,100,2453.155914,79,25.9708,11.6737,4.719,3.1518,615.72601,4303600000,7.52,77.292,1748295
"14",35.449,77.60098,97687737,10.2542749,9.2910122,3.6,5.28,117.31,"2",32.38527,4099.253,2.414,109.03,35.19,"0","0",39.76,38814,1.4,88.03535581,51.7,41.3033,9.83300000000001,4.852,2.8052,63.223766,2.2242e+11,34.26,72.591,166303494
"15",24.359,18.457549204,273417,10.5051944,13.7144681,23.1,5.9499,426.0332986,"4",39.6735776,11995.1868,5.806,430.5773,50,"1","1",57.5,26768,100,1233.55044,66.8,25.2271,9.5582,4.9005,3.4277,557.15704,1e+07,13.59,79.19,287708
"16",102.124,1.027703,8948708,8.0120648,7.5475883,24.5,5.821,571.14001,"3",25.27785,18727.3176,7.59,646.27,43.52,"0","0",46.9,33783,100,1084.619757,74.4,27.4711,10.8458,5.2084,5.4134,374.66376,1.24e+09,7.34,74.791,9442867
"17",942.309,0.292606,11217825,5.6681222,3.4641042,22.1,6.839,1490.91,"4",27.21441,39756.2031,26.85,1457.53,47.22,"2","1",61.9,19878,99,4782.361046,87.9,15.27,18.47,5.84,5.64,840.12659,42025200000,4.12,81.628,11632334
"18",128.263,38.11414,325156,9.9988558,15.1836179,24.1,5.956,268.57999,"3",53.26277,11833.490419,5.0588,264.03,66.67,"1","2",71.55,31420,25,523.7288925,58.3,29.4943,10.053,4.7225,3.3371,118.64302,3.19e+09,19.67,74.623,404915
"19",3.382,89.63388,2083463,7.3902467,6.9945431,9.6,4.408,82.610001,"1",47.75591,2220.1766,1.44,82.42,38.89,"1","1",45.6,65706,9,84.46045434,43,35.8052,11.4106,5.2114,2.7185,34.203602,4.702e+10,89.8,61.771,12451031
"20",742.909,25.54418,5394527,6.950181,8.9480019,20.2,5.559,406.41,"2",41.64937,6695.7746,7.63,416.29,56.48,"1","2",62.26,44087,42.7,445.8226242,59.2,34.0128,9.62660000000001,4.7455,2.355,115.56576,2.114e+10,32.44,71.513,11832936
"21",336.502,3.633199,3352091,7.9595233,6.909738,17.9,5.516,585.77002,"3",33.03019,10460.5201,9.79,605.42,35.19,"1","0",40,24000,59.2,1101.792914,78.2,23.8349,10.1377,5.2685,5.1282,315.49902,5.03e+09,7.04,77.401,3263459
"22",8.93,60.1921,1400631,7.5742542,9.4738462,18.9,3.471,232.69,"3",53.32503,15842.1301,1.97,290.39,53.7,"0","2",57.62,61513,40.289,969.9563729,51.1,31.528,9.0376,5.1266,3.2106,51.02795,3.52e+09,25.14,69.592,2397240
"23",743.068,12.98858,170536625,7.7976249,8.682263,22.1,6.11,602.28998,"3",53.42883,14033.5656,3.05,563.57,60.65,"1","0",56.61,31632,100,1391.52257,64.9,37.3174,9.87620000000001,4.7212,2.3,393.65927,2.44e+09,20.19,75.881,213993441
"24",6.857,8.9850170954,14259258.65,9.2080746,9.676519,14.1,6.17251,618.905396,"4",35.6956222,30613.473161,7.8575,555.0284,79.63,"0","0",82.14,22941,100,2083.430502,70,26.6475,9.7142,5.2441,3.7422,125.25507,3798700000,9.97,75.86,441532
"25",167.088,9.337595,6173072,8.4220956,6.8991835,25,5.598,569.5,"3",41.2841,18444.2602,7.95,478.49,62.96,"2","1",57.14,28771,87,1491.868089,71.4,26.0533,9.7249,5.2079,4.6728,711.14771,2968300000,8.56,75.046,6896655
"26",3.205,89.96324,3567793,7.3630174,5.4645982,5.6,4.741,83.839996,"1",35.30123,1589.6242,1.64,83.83,13.89,"0","2",28.69,70891,1,96.10067087,42.9,40.3995,11.1717,5.2984,4.0831,34.698746,1.0803e+11,115.59,61.577,21497097
"27",0.084,97.167,4895650,4.2383366,4.0934194,5.4,3.775,54.34,"1",38.62482,651.3589,1.54,47.74,15.74,"1","1",14.29,80027,28.4,63.73553919,40.4,37.6385,11.1455,4.9874,3.0948,12.152169,4.981e+10,86.61,61.584,12255429
"28",16.048,66.43285,10458211,6.5496373,6.8660443,11.4,5.241,161.66,"2",46.64087,2888.0459,2.35,160.24,30.56,"0","0",39.29,77369,2,162.8401984,44.4,40.063,11.164,4.9573,2.485,113.57147,9.525e+10,78.71,59.292,27224262
"29",264.982,0.4973831,35776913,6.2295715,4.7614839,29.4,7.025,1745.0699,"4",33.30821,44868.7435,23.48,1700.77,60.65,"1","1",62.5,18838,100,4600.088285,87.6,19.67,11.6,2.93,2.5,670.91956,30934500000,5.81,82.434,38067913
"30",169.068,32.42308,384763,9.0616702,8.0251263,11.8,5.52596,243.34,"2",42.38109,6831.216,3.9795,243.33,59.26,"1","2",57.26,31195,38.854,310.4060324,61.7,32.7228,10.0818,5.2386,3.5839,71.923409,8483800000,23.31,72.981,561901
"31",12.837,93.04771,991050,7.9801102,7.6084099,7.5,3.476,73.720001,"1",56.23661,623.4889,1.72,73.72,24.07,"0","0",28.45,97115,6,31.85577603,28.6,36.0562,11.1599,5.0442,2.9978,12.615376,2.319e+10,131.1,53.283,4919987
"32",5.844,83.21726,1695139,7.893766,6.1519716,6.1,4.251,98.139999,"1",43.32121,2046.3631,2.24,98.14,25,"0","1",32.98,94563,5.002,99.77119413,37.7,37.1772,10.831,4.9526,2.7285,56.241741,2.234e+10,122.75,54.239,16914985
"33",733.723,1.807866,17602817,10.1604348,10.825427,28,6.151,727.16998,"4",44.44094,22104.7654,7.17,720.4,59.72,"1","0",69.7,21333,93.1,1903.118645,76,19.48,2.99,2.62,2.11,613.57904,3.4e+08,7.88,80.181,19212362
"34",3.293,17.94347,1048983300,9.8981826,7.6439389,6.2,5.771,332.12,"3",35.6143133,13101.7064,1.78,287.7,79.17,"1","2",75.89,24811,96.9,762.2437789,74.2,41.2174,10.3052,4.9493,4.34,246.86253,7.943e+10,13.16,76.912,1444216102
"35",600.693,22.39919,39113473,8.3281758,8.7073733,22.3,5.709,431.25,"3",51.33497,13545.0495,5.42,450.73,41.67,"1","2",53.57,27188,87.7,852.8121654,67.8,29.2578,9.219,4.765,1.71,156.01645,4.45e+09,15.61,77.287,51265841
"36",8.05,60.2145,278318,7.863303,8.0245183,7.8,4.609,180.10001,"1",45.33459,1724.4206,3.89,246.86,44.1706,"0","0",47.8778,59673,29.473,121.0422012,47.7,34.7114,10.9641,5.4543,3.6265,90.556938,2.28e+09,50.19,64.321,888456
"37",16.672,90.04419,749347,7.7231127,7.6175358,9.6,5.213,117.42,"2",48.93867,5714.5917,2.75,117.41,51.85,"0","0",54.17,70611,18.871,202.6585841,43.5,36.6378,11.0422,5.3025,2.6017,88.853043,9.32e+09,59.9,64.57,5657017
"38",260.889,10.59034,4543420,8.8486617,8.9133927,25.7,6.998,731.75,"3",48.18792,14686.2539,7.04,676.06,54.63,"0","1",61.67,23017,100,1286.462817,72.9,24.3354,9.17120000000001,4.6278,1.13,276.40625,3.3e+08,8.8,80.279,5139053
"39",4.625,68.84484,5199406,7.3379487,6.312889,10.3,5.257,116.93,"2",41.4748,3713.6436,2.41,119.31,20.37,"1","2",35.71,88856,1.2,189.6011903,42.4,36.5032,11.063,4.9174,3.0988,68.291847,5.166e+10,94.67,57.783,27053629
"40",114.487,5.311003,4077496,8.3590648,6.3176757,24.4,6.508,569.42999,"3",29.72947,22012.3147,9.62,524.49,33.8,"1","1",45.89,24063,97,1656.426156,81.6,24.4256,10.6423,5.1183,5.8614,251.05083,8e+07,4.59,78.488,4081657
"41",11.301,7.0220099077,10682055,7.2850055,9.5670743,24.6,5.418,672.3752943,"3",38.6026547,8325.6313,6.7034,578.4211,65.28,"0","2",71.13,25180,100,1395.485199483,73.5,26.0132,9.035,4.8888,3.1676,443.51151518,2.01e+09,5.71,78.802,11317498
"42",28.542,0.05130247,1160985,8.2802862,5.6710975,21.8,6.26,1319.55,"4",32.73986,27184.4166,16.2434,835.13,40.74,"2","2",57.74,15789,65,2136.797759,85.3,22.2208,11.7273,5.1341,3.7836,937.77203,6500500000,3.2,80.982,1215588
"43",3.394,95.51018,21868430,6.2299002,6.064558,6.7,4.311,46.470001,"1",42.09971,859.3817,1.4,45.83,37.96,"0","1",33.57,92831,10,33.97361777,40.4,44.8613,11.1194,5.0215,2.7773,12.715207,5.183e+11,87.31,60.681,92377986
"44",122.406,0.1710614,5660749,5.3713457,3.2946986,19.7,7.515,1588.9,"4",28.16634,46312.3443,26.44,1492.02,38.89,"2","0",56.55,20451,100,5083.20928,85.7,26.0033,18.23,6.22,2.5,697.55823,19533700000,4.05,80.898,5813302
"45",61.741,66.70957,439594,8.6408121,7.5921335,13.5,4.369,154.5,"2",41.58799,3295.6815,2.8679,147.67,54.63,"1","0",48.93,64677,30,146.6987696,44.7,33.1447,10.7602,5.4251,2.7679,29.903355,6.23e+09,48.82,67.112,1002197
"46",205.201,18.58065,8843851,8.6348075,11.4407357,27.6,5.168,471.82001,"3",41.91857,15912.3995,6.66,377.03,63.89,"1","0",73.21,29597,26.5,873.1177009,62.5,31.7416,8.4224,4.1826,2.1435,381.37183,3.73e+09,33.13,74.081,10953714
"47",713.482,17.05914,13674280,7.4656134,8.4553857,19.9,5.354,421.89999,"3",45.71153,10638.8251,4.68,361.21,60.19,"1","2",67.38,29357,22.8,980.2299724,61.2,29.6037,8.23510000000001,4.7325,2.1272,428.47943,2.73e+09,19.01,77.01,17888474
"48",60.801,75.18362,88807929,15.9915285,19.8157674,32,4.472,183.12,"2",31.53395,11957.2122,3.8977,268.1068,43.52,"1","2",44.17,35784,51.1,495.1650809,61,29.4058,8.50650000000001,4.2633,2.2773,306.79916,1.337e+10,20.39,71.99,104258327
"49",148.315,41.0972,4734359,9.3025743,10.6596175,24.6,5.462,311.87,"2",38.77876,8598.1982,5.42,302.99,32.41,"1","0",43.21,36007,21.6,578.4609406,64.4,32.6816,9.26960000000001,4.7553,2.6365,161.16724,3.15e+09,13.49,73.317,6518500
"50",59.16,50.57124341,875665,9.4867882,9.1859882,8,4.80147,253.05729936,"3",46.1431435,28528.953,4.2849,235.2616,48.68,"0","0",54.8354,82201,37.178,789.5788502,48.4,34.6541,9.92160000000001,5.2869,2.3419,568.37732,8.8e+08,59.16,58.735,1449891
"51",55.03,0.7833411,1278576,7.7077688,6.5439834,21.2,6.453,885.83002,"4",30.32145,27408.6649,11.07,701.86,23.15,"0","0",34.52,26242,92.9,1886.814387,81.4,22.77,10.45,5.15,4.69,429.6655,2934400000,3.18,78.745,1325188
"52",12.569,87.36121,27964449,5.7992061,5.0238509,4.5,4.549,110.12,"1",34.99312,1838.4903,1.8,87.56,43.52,"0","0",52.14,54964,28.333,65.60194586,44.2,44.1065,11.3749,4.9495,3.2749,24.804361,3.9209e+11,60.58,66.597,117876226
"53",2.231,28.74499,812748,15.946039,18.8754833,30.2,5.05649,227.06,"3",36.6966,14213.119705,4.49,238.97,86.11,"1","2",80.36,39681,100,331.3576231,46.6,29.6126,9.9992,4.429,2.9003,70.953873,1.428e+10,27.9,67.444,902899
"54",63.891,0.09872849,5348022,6.4035424,4.3160987,22.2,7.889,1501.48,"4",27.32977,38896.7005,26.06,1501.11,38.43,"2","1",50.3,19843,100,3996.436879,89.6,44.84,19.69,3.84,3.28,794.92712,65639400000,2.4,81.908,5548361
"55",544.493,0.0396873,65757955,7.4588522,4.425538,21.6,6.714,1621.01,"4",32.38069,38515.9193,24.69,1597.81,60.65,"2","0",68.45,19104,99.9,4542.307106,87.9,45.55,14.4559,4.8402,5.98,308.73276,112231700000,4.25,82.659,65426177
"56",24.262,32.0472,808743,10.0069996,9.9846067,15,4.914,295.5,"3",38.02437,17613.5564,3.63,210.08,67.59,"0","1",63.57,58498,57.6,480.8514802,51.4,33.4519,9.7418,5.1323,2.9637,124.56293,3.29e+09,40.51,66.467,2278829
"57",49.241,73.06253,1164801,9.4400826,7.9299876,10.3,5.164,149.91,"1",35.91883,1882.2399,2.45,97.16,24.07,"0","1",42.26,62697,99.9,114.0747188,49.7,34.1574,11.2076,5.3305,3.3429,23.163185,2.127e+10,51.2,62.05,2486937
"58",63.422,28.6450927377,3207857,13.278765,12.0605641,21.7,5.123,237.52,"2",35.94862,11984.9049,1.89,200.07,64.81,"1","0",66.55,29323,25,717.7162423,62.1,28.3146,8.9912,4.946,4.0644,411.42606,3.98e+09,12.34,73.767,3979773
"59",121.539,0.2406784,81033118,6.0163501,3.9049721,22.3,7.312,1637.79,"4",31.87067,46177.6187,26.39,1605.69,59.26,"2","0",67.86,19224,100,5356.811177,86.4,37.31,16.5983,6.1,8,671.1239,75512600000,3.88,81.326,83900471
"60",10.17,60.90227,4109840,6.4065812,6.6002139,10.9,5.319,199.55,"2",43.52088,4267.0667,2.23,131.42,42.59,"0","0",43.57,58375,73.9,249.328504,49.7,40.2923,11.4701,5.1791,2.7361,90.020622,1.4816e+11,62.76,64.074,31732128
"61",56.893,2.895735,10712674,7.2485658,6.015919,24.9,5.788,662.25,"4",32.89121,23450.7658,12.85,680.16,48.61,"2","2",58.99,19627,100,2204.354384,87,25.76,10.1413,6.07,4.21,781.69025,10574500000,4.92,82.239,10370747
"62",204.571,45.00441723,10385302,8.933383,10.3592865,21.2,6.262,259.89999,"2",48.27859,7402.1146,5.51,257.19,52.78,"0","2",57.5,37079,30,443.9018463,55.7,35.1255,9.62560000000001,4.7448,1.9226,247.54504,4.64e+10,26.83,74.302,18249868
"63",5.406,90.28445,2430398,6.7504811,6.0544232,7.7,4.768,87.300003,"1",33.7297,1606.4666,2.53,87.3,62.04,"0","0",67.62,72518,0.2,57.19135929,38.6,40.1033,11.3248,5.123,2.835,31.166372,1.3984e+11,103.06,61.602,13497237
"64",20.833,92.62132,368269,7.3624409,6.8439213,9.5,4.2078,69.18,"1",50.66424,1501.4136,2.01,69.18,35.9811,"0","0",42.7033,83441,1.6,100.2957262,36.3,35.0478,10.486,5.1062,3.2591,37.274281,1.847e+10,80.62,58.322,2015490
"65",151.292,39.30348,643246,9.0633936,12.596474,20.2,5.993,202.89,"3",45.11814,10372.959245,4.1488,202.89,60.19,"1","1",68.81,55470,23.8,336.1484296,49.8,31.287,8.9603,5.0167,3.4379,136.16254,1.79e+09,28.64,69.906,790329
"66",20.346,82.16744,2956253,8.5517711,8.7666628,22.7,3.615,104.7,"1",41.10377,1729.0432,2.15,104.7,53.7,"1","1",63.21,61717,3.1,120.1457421,38.5,33.9214,10.3128,4.8619,2.5214,43.579815,5.685e+10,63.54,64.001,11541683
"67",266.442,48.85315,7401645,8.4891994,9.972857,21.4,5.93,239.57001,"2",48.16817,5041.6354,6.43,236.33,76.85,"1","2",72.38,33106,12,353.3645701,53.9,36.2021,9.73340000000001,4.814,1.9488,173.59322,3.594e+10,15.92,75.27,10062994
"68",163.348,3.021302,9646167,8.9001676,6.6882506,26.4,6.038,650.71997,"4",29.61204,25622.8123,9.59,568.43,27.78,"0","1",44.05,28707,100,1912.069053,79.6,16.86,11.8,5.68,7.02,555.2157,10524400000,5.23,76.875,9634162
"69",32.234,0.01792546,326845,7.6316878,4.1564257,21.9,7.575,1527.02,"4",26.13158,43438.5412,22.7,1413.36,41.67,"2","2",51.79,17257,100,4116.171894,93.6,22.96,29.55,7.74,2.91,700.42822,8179100000,2.46,82.993,343360
"70",86.963,71.48567,518385376,9.053893,8.3259159,3.9,4.225,111.83,"2",38.1565443,6806.4986,1.91,111.83,70.83,"0","1",72.68,47950,12.5,237.7234161,44.8,44.6795000000001,10.0644,4.8044,0.53,154.66501,3.9127e+11,40.83,69.656,1393409033
"71",49.4,71.30388,156962565,7.4193282,7.9842802,6.9,5.347,190.66,"2",39.1624889,11851.7372,1.85,163.97,68.98,"1","1",72.44,36015,59,369.2864404,49.2,44.4183000000001,10.6506,5.0915,1.04,189.93916,9.857e+10,29.15,71.716,276361788
"72",396.45,10.49139,71424438,11.3852069,12.860293,25.8,4.865,493.39001,"3",42.0033,17011.3042,4.3716,504.64,74.54,"1","1",67.08,30911,90,1261.730503,71.1,29.0131,8.4967,4.125,2.4598,500.40799,3.48e+09,15.91,76.677,85028760
"73",266.617,50.81578,30914996,17.2299941,17.4914421,30.4,4.785,178.81,"3",29.54186,12835.8126,4.0088,261.7731,75.93,"1","1",69.35,38798,57.208,481.0398448,60.1,33.9932,9.70830000000001,4.2545,2.4842,367.85107,1.166e+10,25.65,70.604,41179351
"74",382.762,0.3353735,4232536,7.3088405,5.1438133,25.3,7.035,1408.09,"4",31.3598,64684.302,20.33,1248.55,48.15,"2","2",62.5,19319,100,5334.947576,88.4,17.89,14.76,4.82,2.96,809.01556,17309200000,3.73,82.305,4982904
"75",286.868,0.9977683,8380100,7.0922374,5.7613617,26.1,7.195,1097.22,"4",39.01302,32954.7701,13.76,936.83,52.78,"2","1",61.31,17719,100,2819.111414,85.5,9.58,7.41,4.37,2.99,686.99359,8350100000,3.85,82.972,8789776
"76",623.534,2.472911,60426929,7.0540891,4.6222522,19.9,6.488,1227.58,"4",35.928,34364.1682,20.72,1208.21,75.46,"1","2",81.55,16957,100,3350.575515,88.7,17.56,7.44,6.55,3.18,765.02649,14640200000,3.5,83.512,60367471
"77",66.19,52.39908,2349242,9.2817333,14.4098648,24.7,6.309,366.34,"3",45.45747,7272.9805,4.07,368.03,66.67,"0","0",75.36,32646,20.1,511.3773951,63.7,30.8386,9.0132,4.7503,3.766,121.21803,1.8e+08,15.6,74.475,2973462
"78",13.678,1.616443,127141000,8.3588827,5.0036277,4.3,6.118,1212.01,"4",32.85473,38673.8081,20.4727,1211.9,50.46,"2","2",50.65,15700,100,4405.131829,89,66.39,13.7106,5.5101,13.05,576.96307,136232600000,2.76,84.629,126050796
"79",65.47,19.90089,9031072,16.510798,17.1804625,35.5,4.094,331.66,"2",33.65573,11506.3383,4.6884,334.5102,51.85,"1","0",53.33,30626,75,568.122532,76.5,26.4051,9.4586,4.0088,3.4061,142.87909,3.763e+10,14.91,74.526,10269022
"80",118.285,1.16534,17105523,12.3560972,11.3681004,21,6.168,340.60999,"3",27.79287,25307.5554,4.9,364.64,57.41,"0","0",51.79,42084,70,903.3240914,61.1,27.2169,9.0419,4.8225,5.0684,350.55191,4.23e+09,15.82,73.597,18994958
"81",17.37,78.95827,14218114,5.8172238,6.1624503,7.1,4.547,100.36,"2",40.77577,3377.4704,2.39,124.39,62.96,"1","0",64.76,62578,39.4,157.1920959,48.7,43.5303,10.6884,4.9073,2.0673,52.449409,1.9222e+11,48.15,66.699,54985702
