"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"1",39.277,11.565728,12.2499833,8.8120829,8.8120829,2.05,0.46,21.46226904,39.57352779,54.68133576,4.669467218,8.609867408,11.89681782,11.3,60.61,830.19,245.88,74.52,103.76,32.19,201.65,37.47,2.18,17.89,159.11,3.3,5.5,3.2,7.6
"2",169.226,7.6878707,7.081062,8.0693345,8.0693345,0.47,0.18,0.1504723,0.703497643,1.804095769,0.059673811,0.278990789,0.715462385,29.44,28.82,374.06,136.5,11.15,21.85,8.57,19.79,5.47,0.08,0.98,122.34,4.21,21.7,21.6,21.8
"3",44.035,12.2647583,12.5937459,10.7245025,10.7245025,0.29,0.13,16.07761847,19.68895834,63.68725223,1.019307132,1.248262963,4.037716813,16.4,52.78,287.77,66.88,29.4,24.27,13.86,71.2,9.59,0.86,1.04,67.53,3.98,27.4,19.9,34.9
"4",931.858,8.0856197,5.8184757,8.2099398,8.2099398,0.31,0.13,0.026552733,0.016817825,0.024597875,0.339328944,0.214922313,0.314346969,40.4134,45.37,130.3,25.24,4.11,23.83,7.45,14.78,11.03,0.08,0.46,133.38,4.19,25.6,25.9,25.3
"5",8.215,8.5194139,7.825495,5.4878877,5.4878877,0.63,0.18,952.7827003,1205.661598,1839.901489,270.1794406,341.8880044,521.738645,7,50.43,353.12,118.6,13.32,49.81,41.6,58.81,45.36,3.27,14.06,133.57,2.07,8.2,4,12.1
"6",30.635,9.9233293,13.0083446,13.5797672,13.5797672,0.73,0.29,0.132457059,0.168376437,0.533396037,2.533395448,3.220395365,10.20182013,17.13465,30.35,225.66,61.17,27.82,11.31,13.74,100.36,11.03,0.19,1.38,130.33,2.81,18.9,11.6,25.9
"7",657.805,9.8786283,9.4600896,10.5125892,10.5125892,0.21,0.1,28.11222577,41.8137066,162.742742,0.859084543,1.277789575,4.973273025,31.87,28.54,224.34,44.52,22.12,40.59,16.37,53.78,15.63,0.31,1.12,154.12,5.43,28.3,27.3,29
"8",419.474,10.986533,11.9752651,13.4786177,13.4786177,0.32,0.12,0.329858187,1.116599713,0.775209212,0.148641327,0.503164297,0.349326257,45.62,27.85,353.31,62.36,10.56,32.55,26.6,60.53,15.63,0.19,0.34,147.98,3.64,20.2,17.1,23
"9",35.49,6.7891865,4.9997449,6.4767592,6.4767592,0.17,0.08,7.74940969,4.750517175,22.35798455,0.298839333,0.183193487,0.862187633,30.4,34.03,128.73,31.99,10.17,26.43,6.49,28.35,9.43,0.37,0.2,136.09,4.37,29,29.6,28.4
"10",111.698,5.4147456,3.2164117,5.0037759,5.0037759,0.32,0.12,2.487738508,5.641363856,2.160686078,0.210688759,0.47777206,0.182990402,35.92,41.07,178.03,21.47,12.79,19.26,13.49,33.58,8.4,0.04,0.28,133.71,3.97,20.1,21.9,18.3
"11",67.856,11.572171,13.0270691,12.6342799,12.6342799,0.34,0.12,0.485528189,2.879015868,2.957904113,0.139391485,0.826543764,0.849191985,21.83,27.95,538.85,115.88,15.29,32,42.35,45.09,8.4,0.63,1.33,113.32,3.75,19.9,15.8,23.6
"12",335.666,11.2055637,13.6572693,14.2889055,14.2889055,0.42,0.2,0.227348358,0.214321145,1.019459414,1.305280137,1.230486714,5.853044795,19.7,32.34,303.91,73.96,30.54,16.91,16.98,102.35,16.65,0.25,1.3,165.35,2.9,31.6,24.4,38.1
"13",185.709,12.006818,10.6416642,8.2248035,8.2248035,0.7,0.31,0.428260015,0.485430128,1.941009461,1.87528846,2.125628087,8.499398762,28.6,51.43,249.93,35.3,33.35,33.65,14.4,188.6,15.38,1.94,0.82,103.75,4.03,29.8,25.5,36.8
"14",35.449,10.2542749,9.2910122,7.4267267,7.4267267,2.68,0.45,6966.326443,10766.63151,15414.84812,112.7259626,174.2207907,249.436142,20.8,23.94,313.8,144.07,20.86,103.92,25.9,72.27,18.01,4.19,0.98,90.05,1.97,3.6,2.3,5
"15",24.359,10.5051944,13.7144681,16.3594163,16.3594163,0.56,0.25,0.47216115,0.525287214,1.639678792,1.623893897,1.806609246,5.639312724,14.4,31.54,198.43,65.64,22.01,13.08,11.08,106.04,13.77,0.24,1.35,159,2.93,23.1,14.7,31.3
"16",102.124,8.0120648,7.5475883,9.9730906,9.9730906,0.2,0.09,0.470023218,2.439037907,3.084223009,0.051920866,0.269427029,0.34069706,55.31,28.12,527.78,100.19,4.24,15.56,19.51,10.93,12.62,0.22,0.53,133.84,3.97,24.5,22.1,26.3
"17",942.309,5.6681222,3.4641042,5.3784499,5.3784499,0.21,0.08,17.26590116,12.64780464,19.58343854,1.161686942,0.850971482,1.317615839,69.9,46.5,141.99,32.32,8.6,30.28,10.46,23.44,12.98,0.24,0.35,152.31,3.91,22.1,23.1,21
"18",128.263,9.9988558,15.1836179,12.2353456,12.2353456,0.76,0.32,0.574202406,0.923822056,2.189241943,4.886535063,7.86184248,18.63072567,19.6,34.53,313.61,80.28,46.99,38.68,28.42,156.48,19.7,0.44,1.43,154.26,2.91,24.1,16.5,31.5
"19",3.382,7.3902467,6.9945431,5.1142909,5.1142909,0.1,0.03,470.4756371,694.4851655,888.952408,232.1764814,342.7236384,438.6918811,2.4,34.54,327.29,118.85,23.47,53.24,34.97,80.79,37.9,3.71,23.04,137.86,2.16,9.6,4.7,14.2
"20",39.71705,11.9438462,11.5148802,8.8572443,8.8572443,1.69,0.38,12.49109508,41.04472964,55.69004959,43.1003323,141.6242112,192.1576634,11,29.22,270.84,72.7,25.17,92.43,20.92,83.18,18.87,2.75,4.12,78.6,2.94,6.4,4.7,8.5
"21",742.909,6.950181,8.9480019,7.677487,7.677487,0.41,0.14,28.2497269,43.12736664,95.43615511,6.480708413,9.893755392,21.8938008,11.6,33,215.4,55.94,45.48,45.81,28.66,90.18,30.56,0.65,1.88,151.56,2.78,20.2,14.5,25.6
"22",336.502,7.9595233,6.909738,9.1098473,9.1098473,0.52,0.18,0.165359132,0.556440895,1.81389047,0.047956712,0.161376487,0.52605636,52.3,29.45,319.89,107.48,10.77,22.8,10.27,53.65,10.79,0.15,0.38,161.52,4.12,17.9,17.1,18.4
"23",8.93,7.5742542,9.4738462,7.0963344,7.0963344,0.35,0.15,58.12570008,79.48769222,116.732321,100.0783656,136.8585378,200.9847604,8.5,35.2,343.14,107.77,24.71,70.76,15.32,140.84,24.1,0.62,5.06,143.17,2.31,18.9,8.1,29.3
"24",743.068,7.7976249,8.682263,8.8017492,8.8017492,0.48,0.19,462.3082374,1001.567782,1384.006108,3.851812013,8.344758976,11.53111911,16.12,54.18,222.15,63.15,19.62,43.82,18.64,69.08,19.15,0.56,1.25,124.23,2.55,22.1,18.5,25.4
"25",6.857,9.2080746,9.676519,9.2202553,9.2202553,0.97,0.33,0.063669409,0.046031263,0.208097287,0.55648172,0.402321252,1.81880651,22.5,42.78,220.47,60.52,26.52,52.19,6.97,106.26,13.59,0.45,0.92,149.2,3.15,14.1,12.5,15.7
"26",167.088,8.4220956,6.8991835,10.0065948,10.0065948,0.22,0.09,0.269395188,0.273964794,3.27244017,0.0267746,0.027228763,0.325240684,39.73,29.73,508.75,146.22,10.98,25.73,16.41,29.14,11.03,0.26,0.62,140.58,4.41,25,25.5,24.3
"27",3.205,7.3630174,5.4645982,3.7923581,3.7923581,0.51,0.11,794.4770944,1207.21164,1553.730536,215.3210044,327.1812676,421.0956136,4.6,35.63,350.79,87.13,16.09,37.02,28.2,76.38,46.66,5.26,30.89,141.5,2,5.6,2.6,8.1
"28",0.084,4.2383366,4.0934194,2.5851791,2.5851791,0.64,0.14,322.0412056,471.358467,614.7730924,240.4256593,351.9011488,458.969919,3.5,35.51,383.29,131.78,12.68,60.51,34.64,65.71,54.1,5.13,24.8,142.36,1.93,5.4,2.1,8.6
"29",102.69348,7.4169244,6.8944944,6.0548587,6.0548587,0.91,0.15,185.7759159,408.128652,625.805035,38.77179567,85.17724499,130.6067303,20.9,56.87,354.3,172.44,24.86,61.41,75.21,65.58,64.51,7.2,2.79,139.65,3.23,3.9,2.7,4.8
"30",16.048,6.5496373,6.8660443,4.8773871,4.8773871,0.71,0.22,705.0311431,999.343615,1367.268711,152.6414651,216.361043,296.0179862,3,35.82,320.24,114.12,24.89,55.51,46.87,99.53,38.13,3.99,22.12,160.58,2.48,11.4,6.1,16.4
"31",264.982,6.2295715,4.7614839,6.5400874,6.5400874,0.24,0.11,35.60457069,54.32872806,42.54485365,0.857066455,1.307790811,1.024131627,42.85,30.1,126.84,27.89,8.99,24.59,8.24,27.85,10.22,0.25,0.27,147.79,6.91,29.4,29.5,29.3
"32",169.068,9.0616702,8.0251263,6.9133444,6.9133444,0.23,0.07,5.760243668,7.165732482,11.12474185,25.21947203,31.37297661,48.70629301,2.4,27.31,284.41,73.54,19.48,31.22,22.7,60.2,13.67,1.36,4.74,161.02,1.99,11.8,6.9,16.3
"33",12.837,7.9801102,7.6084099,5.7774477,5.7774477,1.03,0.28,211.3721932,327.6010112,426.2713344,337.6809928,523.3641805,680.996517,4.6,43.62,506.18,201.86,16.31,77.35,39.85,77.6,70.42,6.76,24.66,140.1,1.6,7.5,3.7,10.9
"34",5.844,7.893766,6.1519716,4.0834561,4.0834561,1.24,0.3,758.6749847,1170.089097,1504.85658,322.6589163,497.6303263,640.0044854,4.6,32.25,328.47,108.11,22.88,50.59,35.45,72.58,39.75,4.04,30,127.98,1.94,6.1,3.1,8.9
"35",733.723,10.1604348,10.825427,11.9969369,11.9969369,0.35,0.16,19.78179495,46.7489839,81.57838945,1.475934844,3.487977429,6.086626005,18.89,28.96,138.67,45.89,18.62,27.95,23.92,43.92,13.71,0.13,0.67,134.76,4.89,28,24.9,31
"36",3.293,9.8981826,7.6439389,8.2972253,8.2972253,1.58,0.3,268.3886976,837.5005904,1382.527738,0.272490726,0.850300875,1.403658169,36.7,43.8,307.9,132.84,12.13,74.79,10.09,25.64,8.71,0.61,0.61,156.5,3.24,6.2,5.9,6.5
"37",600.693,8.3281758,8.7073733,8.4604687,8.4604687,0.46,0.17,53.91300802,52.47716538,234.2465834,1.764725833,1.717726626,7.667555793,14.41,39.52,185.27,32.92,22.02,43.08,10,50.39,18.23,0.18,1.09,109.16,2.44,22.3,17.6,26.6
"38",8.05,7.863303,8.0245183,6.0384258,6.0384258,1.5,0.41,36.55028147,54.97979736,70.16465757,175.6912717,264.2789638,337.2701227,3.5,40.48,312.61,85.79,12.07,37.63,23.24,64.6,40.5,3.56,19.82,140.96,2.36,7.8,3.3,12.2
"39",16.672,7.7231127,7.6175358,5.7576397,5.7576397,0.86,0.25,214.3269584,310.307522,416.6726565,235.9875363,341.6682072,458.7829475,3.6,51.12,374.62,122.13,15.38,52.38,41.93,69.02,49.78,3.14,13.14,145.47,2.22,9.6,5.5,13.5
"40",260.889,8.8486617,8.9133927,8.7075053,8.7075053,0.34,0.14,11.65821886,2.804006248,24.73488539,4.412595061,1.061306557,9.362067606,9.7,39.46,130.93,22.05,24.85,27.45,17.23,39.65,15.16,0.4,0.85,109.66,2.53,25.7,21.1,30.4
"41",4.625,7.3379487,6.312889,4.4236553,4.4236553,0.26,0.08,486.8208205,684.1582321,951.3260614,133.2425572,187.2536846,260.3773541,6,35.07,422.34,139.42,27.81,58.44,47.95,101.94,43.34,4.59,21.59,143,2.4,10.3,5.8,15.2
"42",114.487,8.3590648,6.3176757,9.2294015,9.2294015,0.21,0.09,0.634493705,1.217902983,6.987970489,0.111150038,0.213351152,1.224146402,58.98,30.22,325.58,88.71,8.95,23.45,18.81,27.81,13.66,0.05,0.31,180.24,4.51,24.4,24.1,24.5
"43",11.301,7.2850055,9.5670743,11.7883774,11.7883774,0.38,0.16,26.79787593,51.27562769,133.0067906,2.340771293,4.478881745,11.61802816,35.8,34.34,214.01,56.83,13.13,24.27,10.7,28.74,12.81,0.09,0.8,152.98,2.87,24.6,18.9,30.3
"44",28.542,8.2802862,5.6710975,6.7227887,6.7227887,0.43,0.16,0.561848339,0.506820861,1.041139077,0.482389041,0.435143815,0.893896176,24.8,43.87,187.14,35.42,17.83,30.02,7.54,63.02,10.77,0.15,0.32,126.42,4.07,21.8,21.9,21.6
"45",3.394,6.2299002,6.064558,4.3320325,4.3320325,1.21,0.3,2637.781537,3663.685833,4972.133082,220.8595465,306.7577737,416.3131186,4.4,48.24,353.13,136.68,11.47,58.92,31.39,55.64,51.98,3.99,16.71,114.31,1.8,6.7,3.6,9.7
"46",122.406,5.3713457,3.2946986,5.0148581,5.0148581,0.34,0.12,8.074058217,4.378149493,7.934043856,1.059482007,0.574502993,1.041109252,40.1,34.51,137.43,36.95,8.07,37.99,10.96,28.41,14.97,0.07,0.44,169.05,3.75,19.7,22.3,17
"47",61.741,8.6408121,7.5921335,5.8525499,5.8525499,0.71,0.24,19.31481957,27.18297244,36.92893674,103.8233809,146.1172387,198.5049382,3.5,41.29,305.33,83.21,13.97,33.29,26.47,65.77,39.81,3.38,19.55,139.33,2.32,13.5,8.6,18.3
"48",185.9281,8.4823535,13.5847999,14.1707703,14.1707703,0.46,0.21,0.162658359,0.231687154,0.612028439,2.866725552,4.083303752,10.78651956,19.42825,31.09,293.7,72.39,42.57,25.8,15.4,127.88,17.63,0.19,1.5,203.15,2.82,27.9,19.9,35.6
"49",205.201,8.6348075,11.4407357,10.6344056,10.6344056,0.34,0.15,42.48574207,36.78264952,98.03372129,8.682168866,7.516714052,20.03366968,6.985,30.5,272.57,70.25,22.63,20.73,18.11,53.27,9.89,0.84,2.52,103.49,2.7,27.6,21,34.1
"50",713.482,7.4656134,8.4553857,7.8982064,7.8982064,0.49,0.17,20.70483616,25.33957075,68.74477193,2.566411094,3.140896891,8.521069378,7.18,28.19,141.95,33.66,40.64,23.92,22.51,80.2,18.46,0.28,0.89,106.11,2.65,19.9,14.9,24.7
"51",60.801,15.9915285,19.8157674,18.2179029,18.2179029,0.55,0.27,29.55839364,95.80742928,118.0654084,1.537230201,4.982614264,6.140175061,8.4,40.61,436.74,107.01,31.43,43.88,122.79,66.91,16.29,1.07,1.27,83.01,3.61,32,22.7,41.1
"52",148.315,9.3025743,10.6596175,9.6655712,9.6655712,0.42,0.16,28.81949485,73.883603,106.2409055,8.679004675,22.25008242,31.99449956,5.95,41.37,179.53,25.27,69.3,23.07,25.7,116.48,15.27,0.14,1.83,98.27,2.47,24.6,18.9,28.9
"53",59.16,9.4867882,9.1859882,7.3285951,7.3285951,1.08,0.31,17.85461943,16.87890766,35.34065549,96.82594982,91.53464588,191.6530649,4.6,49.24,238.66,65.36,11.01,32.48,29.25,60.57,28.6,1.8,9.17,129.09,2.54,8,3.8,12.6
"54",8.87503,5.9635541,5.0479592,3.3054191,3.3054191,0.95,0.19,212.6662146,308.7297806,400.0728624,308.4783183,447.8212194,580.3169254,3.5,42.32,386.59,134.02,13.53,51.58,35.39,70.74,55.09,5.12,26.25,157.28,2.19,5,2,7.6
"55",55.03,7.7077688,6.5439834,9.507434,9.507434,0.19,0.07,0.079756048,0.223907952,0.499390045,0.044648951,0.125347926,0.279568036,60.51,27.81,326.4,45.83,8.79,10.48,14.09,19.43,12.91,0.05,0.41,144.09,4.19,21.2,20.3,21.8
"56",379.83366,9.072957337,9.634427458,7.8732791,7.854238306,0.5483,0.2028,223.84040537469,330.15539302228,457.68195052614,49.47761208224,88.94646067385,132.4212825275,10.8786,41.8164,382.4052,122.4069,35.9849,58.7121,31.8023,108.1681,33.4616,1.3892,4.3062,126.2828,2.6412,19.466,13.811,24.518
"57",12.569,5.7992061,5.0238509,3.5951689,3.5951689,1,0.19,4641.117043,6906.191956,8506.672859,271.5362876,404.0582705,497.6970731,2.6,39.37,360.35,106.98,17.09,47.16,39.55,70.74,50.53,5.17,23.59,151.75,2.13,4.5,1.9,6.9
"58",2.231,15.946039,18.8754833,18.30089,18.30089,0.47,0.22,3.306182604,10.46151617,23.2986789,11.43925761,36.19642133,80.6124833,0.4,41.41,482.67,101.87,83.75,70.5,10.82,459.95,19.12,1.05,3.64,122.79,2.63,30.2,25.1,35.3
"59",63.891,6.4035424,4.3160987,6.8101355,6.8101355,0.24,0.1,1.141119764,0.792747225,1.032838419,0.140951943,0.097920714,0.127576953,31.41,52.29,179.76,43.04,4.09,14.58,12.59,11.61,11.9,0.03,0.22,116.43,4.39,22.2,23.7,20.6
"60",544.493,7.4588522,4.425538,6.6258572,6.6258572,0.23,0.08,29.55886606,25.84692835,52.77921822,0.333688042,0.291784228,0.595821029,43.64,36.62,109.08,25.02,6.13,14.64,10.57,21.03,10.35,0.07,0.3,148.79,3.76,21.6,22,21.1
"61",24.262,10.0069996,9.9846067,8.3337097,8.3337097,0.6,0.21,45.21394737,59.61460208,85.68390025,102.0798828,134.5923536,193.4492121,9.5,55.58,308.36,94.28,16.72,36.52,51.18,77.36,41.84,2.7,11.49,146.79,2.59,15,9.6,20.3
